Feature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
KDA,0.6765014606898002,0.6556176369101286,0.6825064950692384,0.702331917784695,0.6934871952840199,0.7197402890878213,0.7111346880965063,0.6917494330773911,0.6909507965126186,0.6793143503909637,0.6680270329524148,0.6548960312224454,0.6422125361031833,0.6310879455684589,0.6178481690595922,0.6010613491138522,0.5812205031274401,0.5608697469614998,0.5422022879975739,0.5277943387990646,0.5082538139195986,0.49015262057794967,0.47360575264765375,0.45522298998596933,0.442113229471038,0.42693872419080037,0.4138495089339911,0.4030509005107116,0.3967131336728943,0.3853915760766537,0.3640595650653582,0.35087934510781915,0.334434728831316,0.3302785392626836,0.3202098143230494,0.3113309021039509,0.2862250203982766,0.2946378326029027,0.28390391133364695,0.27250351531007827
assists,0.2813478997654833,0.25108545459198867,0.1593617080275717,0.14865432783265126,0.1460871019445915,0.15304558393623421,0.17408181230275954,0.1680258923440494,0.16618138523243697,0.164674278651098,0.16519958300976104,0.16575723351707838,0.16161275589579135,0.15939609548747452,0.1598326578101315,0.15757203034696132,0.1515579345764414,0.14724141298712656,0.14293015843340154,0.1425209859703351,0.14017489800794108,0.1282090363125601,0.11761203643837102,0.1061604696162675,0.09319038292284333,0.07757349535966418,0.06445560820659026,0.05383721058094145,0.03724516078730506,0.011128311845965274,-0.016850526068299683,-0.04098343848140446,-0.06135087551820395,-0.076489730064587,-0.09440990073205234,-0.09801233783732226,-0.11182443116057089,-0.1073199249531657,-0.12101064152729714,-0.13556435328518232
csDiff,0.021319630202585173,0.2948931880624039,0.4509878617792586,0.4838279095169292,0.5342978171714902,0.5632871359606432,0.5728039596878733,0.6083212225978709,0.6188801568160875,0.6400516380078929,0.6583230279794468,0.6536894410733343,0.660642358737612,0.6665693914402058,0.6577590841464047,0.6551691476770176,0.6444722618197481,0.6332753501801401,0.6253879242127449,0.6177487706595383,0.6087280795903811,0.6000075910503544,0.5937504727624074,0.5853854373475302,0.5797617643964974,0.5703751580569988,0.5657966023530431,0.5608490937300036,0.5572427680042723,0.5567600460708669,0.5514665051824567,0.553351838040529,0.5527532950505815,0.5526259540274978,0.5479208609170932,0.5502039980690832,0.5462334655031988,0.5522488150998285,0.5493866900275695,0.5560743017462075
damageDiff,0.2306837662863292,0.21396489157885937,0.29709652551773774,0.3362710433797495,0.3762401419442013,0.41354236030810265,0.438855362723756,0.4484462018647476,0.45478542218184376,0.4588930835018304,0.46980410091826896,0.48284309775036055,0.48759601110661444,0.49179412594897426,0.5015614984070463,0.5090418072959914,0.5160467653544644,0.520091532307868,0.5248119120064537,0.5301692538334024,0.5353941628815042,0.5383054378998849,0.5405050078998879,0.5377301565662624,0.5358625146957442,0.5334058037801352,0.5340387093954605,0.5307942103862933,0.5290316625820932,0.5201007671487965,0.5133303916428735,0.5111713305518126,0.5084732771458131,0.5127702582287541,0.5071350086843651,0.5078987571573041,0.49806466713361114,0.502283859738909,0.4950268418812902,0.4952074335288423
damageShare,0.09950044079490855,0.02096684806431308,0.19498918237510451,0.26280505029532025,0.2774409507440525,0.31241965015830203,0.33119384336736135,0.3313673484543483,0.33682416135293897,0.3401215684044852,0.34525803250594167,0.36070672616474786,0.3617261062463596,0.36367558398240935,0.3753017688437151,0.38511062917759514,0.39739666757617775,0.40847601732800387,0.41892177982663575,0.4263103365991584,0.43812596346544697,0.45493938044936616,0.46977473293707817,0.4816371023828362,0.49453644943532776,0.5059286091668586,0.5153014212459507,0.5209863831511081,0.5367255584735207,0.5501338348508525,0.562806157675185,0.5794890263277721,0.592201187426835,0.6038272097913026,0.6108348721667353,0.6190189331699673,0.6241517951106981,0.6332587127541702,0.6346510056279521,0.63306929287433
deaths,0.14957218348524326,0.11745746972724139,-0.028633669958533975,-0.12311767882470988,-0.1640054646868852,-0.1983719174862945,-0.2257976440767103,-0.24458897676647073,-0.2531563412957363,-0.2617023538059976,-0.27815500227509854,-0.28843723490029516,-0.30110556349587475,-0.3082847952733547,-0.3049502784858855,-0.30667202781403535,-0.30639783169371426,-0.30642815399344947,-0.3082538093756916,-0.3090468817878128,-0.30988837441624173,-0.30604577092671736,-0.3035510180782507,-0.2978812306365194,-0.29610953512245275,-0.2920516787261347,-0.29168664523626914,-0.28829583816072896,-0.28466904174253416,-0.2752659479059182,-0.26523558878045134,-0.25057586020957173,-0.2431539035452361,-0.23345554905268132,-0.22503337314772062,-0.22045185459748645,-0.20040739815195527,-0.20693777601836816,-0.17391774412648023,-0.1735675619250734
jungleMinionsKilled,,0.026984033677447568,0.023853937233432133,0.020246014576543857,0.01572172204877447,0.01233085483201416,0.048858077272984614,0.0541792752654668,0.05743655166935431,0.060952222407487,0.07282090521165317,0.10384861422775027,0.12687380828545622,0.15280150064172057,0.1843317269972859,0.20852448780312613,0.23385308938245017,0.25550664706298987,0.27857535676597883,0.3013010310395444,0.32108433052548363,0.33879457634830296,0.35470882114586727,0.3657327368364979,0.3742143499535024,0.38322913221764665,0.3917263254444789,0.397233713599333,0.39769890435019434,0.40406912747744195,0.41632025769204356,0.4187779709092306,0.42425020834570143,0.426745647513787,0.4288227729989034,0.4294167259006655,0.4231316570329658,0.42226086432251997,0.4214087081297653,0.42122747961553536
killParticipation,0.6462138694494947,0.6213579070884868,0.6510009023628544,0.6093305422715525,0.561516407191375,0.5628612098833525,0.5512368708503684,0.5367843128455286,0.5399938443374869,0.540992049760231,0.5387942315834302,0.5384789828170815,0.5299772456758938,0.5285634197704591,0.5282104371783031,0.5238775394916196,0.5152795366087579,0.5041979678391441,0.49320194444686555,0.4816118553846303,0.470238496096412,0.4641050751912992,0.4555550487001157,0.44863139010923614,0.4398259299772256,0.4303313861941629,0.41863908726756777,0.40889480577474097,0.4036535963071643,0.39694807664379367,0.38908680865428613,0.38195221381679145,0.38010831048901444,0.37579782028569375,0.3722221741690214,0.36940519947376715,0.3543459062912591,0.35578879381593936,0.3511773674156034,0.32106001445316645
kills,0.9779829691381781,0.881972673094924,0.8271954108750545,0.7970470857350147,0.7747068941651298,0.7922211479033963,0.7919940320714375,0.7772255798969184,0.780117583643184,0.7712951307106819,0.7647077303319552,0.7672756710112103,0.7579375921697514,0.7525197858478407,0.7542180706710158,0.752753089783656,0.7530990694156698,0.7513165653633267,0.7497300801028592,0.7500667615275055,0.7505638724228383,0.7499608691953337,0.7483621109626092,0.7455935737418652,0.7446352405169414,0.7419862402928401,0.7369871185721564,0.7326313827238441,0.7276711272888478,0.7230203465626652,0.7184349394517578,0.7161194880226577,0.7123467377336015,0.7128027084921392,0.7094734670506493,0.7076722255458131,0.7035584723805914,0.7064483039501442,0.706603319338774,0.6980677817584913
killsDiff,0.6432964462758839,0.5947104879713766,0.6364558193711759,0.6574723017949342,0.6585474950716604,0.6836036522296522,0.688781080601954,0.679714911631139,0.6839636473622783,0.682392134331697,0.6822709168286804,0.684784741362278,0.682044217951881,0.6808919344716707,0.680323814116646,0.6781474463747198,0.6743450502999726,0.6697708031079016,0.6664017576111657,0.6643463302297415,0.6616845268114188,0.6573929700066697,0.6527269433895835,0.6461109103979255,0.6415066619212499,0.6359718281086103,0.6318751821584384,0.623777490290108,0.6162018759640803,0.6079513301638285,0.5993664363223533,0.5909268387420646,0.5850816717256796,0.5841925406245483,0.5780268567613797,0.5733179365109423,0.5606808279515905,0.5636882947431745,0.5569534528495768,0.5498484921237713
