Feature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
KDA,0.761035697330648,0.7137942821190746,0.6757041174544652,0.7469675239727596,0.7697495564426317,0.7724155178986802,0.7664827258300096,0.7381837452045759,0.7062630638184955,0.6852822570290998,0.6608062214324064,0.6296301377408623,0.5999472866870247,0.5723917029091238,0.549056902328937,0.5292860470979129,0.5165635644010133,0.5083542642065797,0.5034036595255796,0.5005161351628661,0.49344042755043,0.4776800502841385,0.46671105839002586,0.4528981239235636,0.4412461869471002,0.4331286359585614,0.4332368414941345,0.4236142177339481,0.405569953254442,0.38095280755441074,0.3699739272333006,0.355997961116627,0.34463064709377317,0.3364741664750861,0.32347444537015235,0.3100354949601402,0.30394823628636397,0.3027238823923289,0.2820085355641103,0.27216021189584794
assists,0.33465604044278263,0.315600496340455,0.20264190635394447,0.21012148554555918,0.2232598321289576,0.2311180858112245,0.24437985972383747,0.23398557345570928,0.22289102593780807,0.2169810459917697,0.21232265873658743,0.2019792981809182,0.19288015257543326,0.17747887225392747,0.1677508842896381,0.15969623775670475,0.15579638567258053,0.15627515596044067,0.15885519981436524,0.16481705987341785,0.1706176292280306,0.16173648930057996,0.15549613716321653,0.1427708815487139,0.12934727122353307,0.12295518208186766,0.11841696842174163,0.11061081937644977,0.09018555486781793,0.06547096612559936,0.03887358350170696,0.016365946613224915,0.0013633888449056258,-0.0027328309306072886,-0.021080951323660488,-0.028014323373288536,-0.03877844294515168,-0.0517791577989716,-0.07200113785064484,-0.08103708514575556
csDiff,0.020449700538937677,0.2711767658451327,0.22459337865832005,0.21686846989365732,0.23254330576736876,0.22871239653896708,0.26255104820733033,0.2931883357631552,0.30429379316063687,0.31690403463590394,0.330889859408692,0.3507132913394138,0.3651307523059837,0.38031095333958076,0.39663220235737506,0.4166018031640133,0.43195176098475035,0.4505233783290823,0.4677993108129327,0.4869548980745916,0.4981195192080275,0.5016816256262391,0.5055258933571162,0.5107522091760528,0.5129484229976559,0.5183759527680619,0.5277870376784826,0.5254530237873034,0.5198315201018405,0.5130201766615073,0.5045697835713543,0.5028304715750426,0.4987516770465734,0.4955195701119172,0.49553430390112385,0.49106555665501744,0.4935921572638782,0.5023272229996647,0.5088476488189964,0.5113540086228998
damageDiff,0.2558685374296851,0.30066903605843437,0.3392680993824134,0.39322962893216085,0.4033334229038755,0.41434245656254387,0.4388601770696776,0.4514945346832981,0.4550020232745148,0.47701487372796575,0.491645521093426,0.5012797523360303,0.5032197866061506,0.5036126568522452,0.5040620497809943,0.5064290425721659,0.5107315202181896,0.5165037099701663,0.5250792403011858,0.53431264795117,0.5396815977314773,0.5380518711283647,0.5368133026916757,0.5371967080174421,0.5391627882421198,0.537849950528393,0.5433179708186727,0.5419038904925514,0.5327526355973535,0.5242272352018951,0.5148595142866503,0.5099285193466162,0.5098682138339419,0.5060774632536412,0.5110173855186353,0.5008712943016771,0.4994675888577416,0.4920135573805576,0.4844700986153068,0.4943623885065639
damageShare,0.1238430725726813,0.26745118436743365,0.2622307972616016,0.36141063955301655,0.4012121766806564,0.4439668284306487,0.4889129109305245,0.5006483097673916,0.5077077715198466,0.5392319418113793,0.5657696520025697,0.5788763735515036,0.5810894799040625,0.5778461019246207,0.576068179097954,0.5753248202282416,0.574472072297887,0.573311017839723,0.574525195759833,0.5743005887019328,0.5738033870256678,0.5769483286500569,0.5777637054066584,0.5821755798304431,0.5892663637283517,0.5920086905911298,0.5966219599783698,0.5981050740404551,0.6047370199177783,0.6172755697142905,0.6260039589023989,0.6335867319432151,0.6402190198911555,0.642997015167539,0.6617466713461743,0.6624640539178316,0.6699364604061567,0.6622595148661005,0.6693218422183309,0.6786497299544665
deaths,0.10588502732981056,0.047036809418831226,-0.08405730650580001,-0.12679372634987804,-0.10543585916839897,-0.07451859072014534,-0.07942200870105978,-0.09490978781591514,-0.09478675691336172,-0.0989635831940372,-0.09894030189131456,-0.11452468885074592,-0.1230171462722684,-0.13381168690733786,-0.14335011121558552,-0.1514874469884604,-0.16777810301088777,-0.1849380256336616,-0.20344764529962184,-0.22021261826207938,-0.23708154343580884,-0.23835792107782466,-0.24317231375547343,-0.24249420201929525,-0.24199512985939214,-0.2478522480195245,-0.25599488941443876,-0.2537050050419382,-0.24011498744969412,-0.2153127631348783,-0.20453952602531422,-0.1906573203912308,-0.17913253707755994,-0.170198758971594,-0.15692536661274262,-0.14361740312115814,-0.13085609120555997,-0.13380837763461037,-0.12660691518541645,-0.1344493293475034
jungleMinionsKilled,,0.23118514487370637,0.26322359574908494,0.21395440375430816,0.17449911392419742,0.16291553471827278,0.16040800224342036,0.19341285016406656,0.21557521538779703,0.21636280903374572,0.2224223157301093,0.24149539247650648,0.2571982728860723,0.27397184460659046,0.2923819852179369,0.31405149673488203,0.33440650961411683,0.3549816768066809,0.3736265821523993,0.39242007809929436,0.41125245975978114,0.421538677489178,0.43105651389449984,0.4382740157096426,0.4422227040217373,0.45131622522802406,0.4610439290173162,0.4607400367462618,0.46018164835713216,0.45188200179951415,0.446820807975192,0.4456259512968386,0.4401478720587704,0.4392094600934274,0.43616670583689326,0.4358340355516911,0.4358954517171526,0.44297230557482675,0.44773021705147265,0.4602167359803521
killParticipation,0.7157684468572189,0.6522049112180801,0.5902964317856001,0.6002726418481323,0.5698675941746657,0.5377500585501581,0.5167568396632857,0.49927292413577695,0.48751622964497743,0.4849665165631251,0.4862781208058326,0.48727710685102826,0.4851002154405636,0.47997276508815173,0.4725778345076889,0.46460631432260174,0.4546345855160987,0.4429607643771911,0.43443901064360496,0.4257204715862117,0.41872889458675716,0.41395125647586994,0.41030097718980074,0.4058078563248259,0.40490963097283417,0.40127431053205936,0.3996923943665711,0.3997080624869211,0.4004697140064931,0.4060244587007648,0.4063175829623464,0.407299231042345,0.4122590831142024,0.4124610215092755,0.42060780771438383,0.4160385706392132,0.41886816017423134,0.4150473344067712,0.42189395929774914,0.4345880289374546
kills,0.9562923354113222,0.8890562822905816,0.8062573871741668,0.8437641577770143,0.8597405985482436,0.8627435512009585,0.87250409401339,0.8663558703475581,0.8577623549563572,0.8634287392419262,0.8696116240318984,0.8704444183454502,0.8667726841136021,0.8605704927529457,0.8562301097618771,0.8542643951239179,0.8540363898509082,0.8531361336297716,0.8521832733646317,0.8523731812928359,0.8535901616748761,0.8524235074711506,0.8520687333825446,0.8519625712779496,0.8519440008426172,0.8505197156333067,0.8477917241770524,0.8453505928842496,0.8428820438655334,0.8409780289053024,0.8397825269480524,0.8389116863110642,0.8361576592264104,0.8362904922339807,0.8341472878441853,0.8330421740618635,0.8343418238122073,0.8306373274162554,0.8265355135410624,0.8311437822876964
killsDiff,0.6461929393866471,0.6232273189865428,0.6119228899778485,0.6311433905578747,0.6336568140290132,0.6256983216134879,0.628452282140324,0.6278802600614168,0.6208916573113263,0.6276859560803904,0.6308700204832991,0.6331488556528527,0.6313261511734886,0.628836472125581,0.6276709154906011,0.628697976259586,0.6332238347712864,0.6386781980184009,0.6443533777021363,0.6515511103073881,0.6572944458066414,0.6554257379843749,0.6556372223819504,0.6549279622781311,0.6548351635359206,0.6552664964241406,0.657456653035653,0.6552871935031989,0.64671268760905,0.6369622638964763,0.6285985477136146,0.6235474282495511,0.6194028936955674,0.613697402779964,0.6106639195175944,0.6032013259138759,0.6034214323467408,0.6054860702227317,0.5985315483019975,0.6065897285070877
