Feature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
KDA,0.6916279590951054,0.6778660554140199,0.71260478547431,0.7190911967341417,0.7125496242889952,0.7226712512808805,0.7166877128628771,0.6906617626093853,0.6813799972146378,0.6601533045596178,0.6410450229882623,0.6214528256054898,0.6007640061131243,0.5833975751798618,0.5641607904103655,0.543876302771107,0.5260066318075699,0.5088542237838465,0.49270068750916507,0.48226135655567526,0.46923022003166326,0.45516719240601067,0.44291350768990817,0.4270691013574006,0.41412716799181765,0.4005285971574035,0.39527575576156193,0.38970282978135745,0.37243737560894946,0.35830601037272447,0.3433427251337152,0.32821957177815725,0.31816970988722765,0.3048488067887539,0.3069924388010441,0.2990967840127778,0.2948291391451231,0.2825208948615244,0.27885817584532047,0.2867891721899193
assists,0.27271076396632715,0.27181836224987577,0.20803424524731867,0.21508954363119337,0.21812372916574016,0.21728809158389034,0.218146290488866,0.20491492672624606,0.2076119939362442,0.20134463731895946,0.19290059441715357,0.18106951105567193,0.17214422009780675,0.1657747400222695,0.16202453907179154,0.15464331284259258,0.14587401921873908,0.13896483545037222,0.13455072752648795,0.13538069945804082,0.1373756020696621,0.12422766072863146,0.11540605226005776,0.10389318337650708,0.09236108199667298,0.08316839912823709,0.07811070973781571,0.07427565582045714,0.05281274779783461,0.027853769317663982,-0.0005689347782250212,-0.022083789728120543,-0.039377649140570486,-0.054465059478430417,-0.06979023907820267,-0.07339345890732163,-0.073933648179996,-0.08690660151519011,-0.09327858124527973,-0.08818063231453828
csDiff,0.023689967570163506,0.26394749125040623,0.35932415965057407,0.35394710705602955,0.3745027513086836,0.40066995311083314,0.39950827417379364,0.41286866802211286,0.41835874586124716,0.4323763117208581,0.44874605032759624,0.45308783129060015,0.4628131952510092,0.47145493927691845,0.4705192244744291,0.47747709990899045,0.4775068931587942,0.4776791947636458,0.4771086888483307,0.4780032199865706,0.4716191939652096,0.46570225279806166,0.46385377903091957,0.4603424542582629,0.4540966948038929,0.44888375057596325,0.44738882486045844,0.44861265360371005,0.4491524161585756,0.4538015717718281,0.4524465739716591,0.45000277107135456,0.4492424885687006,0.44972359303935955,0.45161557199772284,0.45537483991678684,0.46103712308123107,0.4687107389228269,0.4721944966887093,0.4748874485977282
damageDiff,0.19698636831303382,0.22375033687021356,0.2810323918838817,0.3279804625473786,0.35539177968482855,0.3904290658936914,0.40779184863900764,0.4116611858009531,0.4225233367244345,0.4274026503685318,0.44241371038306326,0.45467408277621196,0.4604872068034851,0.4619089314439876,0.4673859958123151,0.46971820919320856,0.47386847317328135,0.4782226206918379,0.4821758500159592,0.4887289126801068,0.4959665674608433,0.4945803575000316,0.4969437563062761,0.4922419903363348,0.48629476662770854,0.48235302127349794,0.476502612599677,0.4743784464159888,0.46530285299525437,0.45482114384260536,0.44878039514602885,0.4388106991330029,0.4354141765076899,0.44095804044878184,0.43215894316629266,0.43736862177082586,0.42603866360984693,0.42233428649920923,0.4161502063879108,0.4097954314746318
damageShare,0.09333098955431286,0.05054736689698094,0.17004746471613258,0.22822967891102208,0.25099227011174485,0.2859852845871233,0.3090110086810471,0.31361408192732093,0.3269840232920661,0.3335197836415561,0.3467721242545613,0.3646337435850583,0.372566567457585,0.3787345990971131,0.38974587274392625,0.39617273549325993,0.4076035126700054,0.4153040093676806,0.42165453185475216,0.42774560089865976,0.4367126244171851,0.44628244603337186,0.45577510039634495,0.4605471357656969,0.46580862585366334,0.4703865229014627,0.46862952462799384,0.4743799373735926,0.4798932625309586,0.48732561200955654,0.5001622469326353,0.5101450919864557,0.5133896359039716,0.5217451943830989,0.5222978515617535,0.5270287571492708,0.5306271281437472,0.5375299117033041,0.5286187601213441,0.5365302059841428
deaths,0.09082567256460969,0.07333737042353775,0.01476485014635283,-0.055507933112030845,-0.07203629380906719,-0.09100989742498963,-0.11541798877677913,-0.12392134364020511,-0.12375535846303505,-0.13594824980577838,-0.1579584230492832,-0.17431048111672076,-0.19018133801194376,-0.20287094419688478,-0.20318421771067546,-0.21250567956633415,-0.2227893973597028,-0.23154815261949604,-0.24190036638099663,-0.24939173210694124,-0.25621678382419366,-0.2565750901488041,-0.2568496622086604,-0.25566670472641545,-0.25277502842765653,-0.2513445462260961,-0.25427740248552505,-0.2550492223696303,-0.24490049693873933,-0.23372247228070692,-0.2289097819133194,-0.21912289190533885,-0.2150063051088729,-0.2031067235995652,-0.1959648534201916,-0.19591179308026788,-0.1961996825322875,-0.20105767531250449,-0.20607008361083975,-0.2192219671299401
jungleMinionsKilled,,0.0070483801227844275,0.0296067501706551,0.026867080199630376,0.030010778109832704,0.035936558753765384,0.055084154086017946,0.0592483620078715,0.06143889367922051,0.06257048245963337,0.06715590658935713,0.08208771615465286,0.08807678008830616,0.09906220333245393,0.11760865703358166,0.13613994847119346,0.16121817100158717,0.18215369966537492,0.20624249801195038,0.22407963330806244,0.2452967437021007,0.26263999127049564,0.2745652233723195,0.28722468690151975,0.2961790272041057,0.3064812958741339,0.31854798249801747,0.32551841368075857,0.3300657673048656,0.33231254828111123,0.34121724262033515,0.3509573873506844,0.35201317645299784,0.35329864571070446,0.36016728375904733,0.36260719616779646,0.36004172136902235,0.3637379403442108,0.34909625886160084,0.35044528915742834
killParticipation,0.6554040033717334,0.6050157965844348,0.6592097137096967,0.6037545246044569,0.5671598028549796,0.5599514425184016,0.5419019714899366,0.526183970732306,0.5296530891947592,0.5273574189132061,0.5221941304413235,0.5163660646908479,0.507155669727379,0.5017315548095309,0.49631610128646975,0.4850665945337662,0.4738066222692838,0.4601540441469129,0.44885437589639143,0.43622294335631273,0.4286588234606429,0.41997255675632567,0.41175957286919185,0.4034475525697438,0.3974765589380115,0.38933198449507733,0.3785384223152436,0.37606691293003064,0.3686142151464737,0.36152466761280333,0.35654716322641883,0.35403507345349233,0.34485867887454025,0.3383909012577154,0.32841155295342395,0.32189934311399765,0.32364997492667924,0.3130781085811809,0.3052790420910001,0.3022234081254081
kills,0.9769021065007134,0.9100037512103041,0.8746052166158661,0.8405093673735025,0.8261134281046293,0.8348262952260262,0.8350224965920109,0.8234240138603156,0.8251959998840247,0.8155499283634803,0.8080891633435515,0.8066510192613755,0.7958407549067861,0.7855019199729024,0.7819875942342688,0.7744311896801371,0.7677478037374456,0.7636706678008592,0.7594316611662143,0.7577657560709822,0.7577299549983478,0.7545273091325043,0.7520577065542408,0.7472197204404031,0.743381348418256,0.7382541044741552,0.7319625920387383,0.7272168000609859,0.7206295881279181,0.7124147857506247,0.7070624712374466,0.6981239021154508,0.6935833838378851,0.6928449927666693,0.6894972825027342,0.6851769633418384,0.6782524390879695,0.6722697660043008,0.6689060830886633,0.6722692180876163
killsDiff,0.6474602152335165,0.6070037186023062,0.6358172844082005,0.6405171767203,0.6340794400214761,0.644224238234295,0.6471933692524215,0.6373995542742216,0.6354685986121855,0.6307577357964397,0.6327981600505201,0.635818069615319,0.6333890231115153,0.6291025337249819,0.6253399344532511,0.6226658574615327,0.6194244078905397,0.6185357547314527,0.6178666048894734,0.619533172213439,0.6213344712764094,0.6174748517279495,0.6161627892547241,0.6106846974055873,0.6047514566207192,0.6001752674603091,0.5959712635402425,0.5929499146440566,0.5827009399327578,0.5705266426590779,0.5613489438593492,0.5498666391341996,0.5446935109749235,0.5433209047197087,0.5340104124086827,0.5330283894671137,0.5194682323815288,0.5154001906068036,0.5013666832804985,0.5039659732191429
